Grounded Theory Research |	Developing new theories from data using inductive reasoning.
Mixed-Methods Research |	Combining quantitative and qualitative methods in one study.
Quantitative Research	| Using numerical data and statistical analysis for research.
Qualitative Research |	Exploring human behaviour and experiences using non-numerical data.
Correlational Research |	Examining relationships between variables without manipulation.
Historical Research	| Studying past events and trends using primary and secondary sources.
Experimental Research	| Manipulation of variables to establish causal relationships.
Case Study Research |	In-depth analysis of a single case or a few cases.
Descriptive Research |	Describing characteristics or conditions without hypothesis testing.
Survey Research |	Collecting data through structured questionnaires or interviews.
Ethnographic Research |	Immersive fieldwork to understand a particular social/cultural group or society.
Longitudinal Research |	Collecting data from the same subjects over an extended period to study changes over time.
Action Research |	Working collaboratively with stakeholders to identify and address practical problems or issues.
Mixed-Methods Research |	Combining quantitative and qualitative research methods within a single study for comprehensiveness.
